ResortName,PassAffiliation,Latitude,Longitude
Blue Mountain Ski Resort,Ikon,44.5010785,-80.3160997
Calabogie Peaks,Indy,45.274401,-76.7803903
Loch Lomond Ski Area,Indy,48.2939871,-89.3482353
Ski Mount Baldy,Indy,48.5258002,-89.1282432
Searchmont,,46.778645,-84.051335
Bromont,Mountain Collective,45.3179544,-72.6569259
Camp Fortune,Indy,45.5090169,-75.8512242
Le Massif du Charlevoix,Mountain Collective,47.4412031,-70.5053991
Massif du Sud,Indy,46.621511,-70.4897305
Mont Rigaud,Indy,45.455,-74.294167
Mont-Sainte Anne,Epic,47.0751973,-70.9066743
Mont Tremblant,Ikon,46.1184616,-74.5961852
Stoneham,Epic,47.12095,-71.409135
ANDORRA,,42.506285,1.521801
Grandvalira,Ikon,42.5786601,1.6463181
Innsbruck Resorts,Indy,47.2675322,11.3910349
Kitzbuhel ,Ikon,47.4492375,12.3925407
Ski Arlberg,Epic,47.1291555,10.2639663
Ski Welt,Indy,47.5031128,12.1908727
Mala Upa,Indy,50.7448469,15.8205392
The Snow Centre,Indy,51.7450652,-0.4587803
Trafford City Snow Centre,Indy,53.4215129,-2.3517259
Les 3 Vallees,Epic,45.39,6.59
Chamonix,"Ikon, Mountain Collective",45.923697,6.869433
Megeve Ski Resort,Mountain Collective,45.8498497,6.614984
Dolomiti Superski,Ikon,46.5739752,11.6520936
Skirama Dolomiti,Epic,46.4102117,11.8440351
Glencoe,Indy,56.6825599,-5.1022713
Baqueria Beret,Indy,42.683333,0.933333
Masella,Freedom,42.3498798,1.9006998
Andermatt-Sedrun,Epic,46.6339116,8.5935627
Crans-Montana,Epic,46.3118579,7.4823527
Disentis,Epic,46.7051127,8.8523754
St. Moritz,Ikon,46.4907973,9.8355079
Verbier,Epic,46.0960814,7.2285512
Zermatt,Ikon,46.0207133,7.749117
Erciyes Ski Resort,Indy,38.538985,35.5266161
Tazawako,Indy,39.7168527,140.6544861
Palcall Tsumagoi,Indy,36.5557618,138.4639807
Dynaland Ski Resort,Indy,35.9902088,136.8705351
Hirugano Kogen,Indy,36.0055472,136.9085684
Takasu Snow Park,Indy,35.9982091,136.8773292
Washigatake,Indy,35.940337,136.9716762
White Pia Takasu,Indy,35.9558169,136.9348753
Kamui Ski Links,Indy,43.704967,142.187102
Kiroro Ski Resort,Indy,43.0755451,140.9834601
Nayoro Piyashiri,Indy,44.4044208,142.51344
Niseko United,"Ikon, Mountain Collective",42.8047856,140.6874494
Pippu,Indy,43.875077,142.4777157
Rusutsu,Epic,42.7373349,140.8757346
Yubari (Mount Racey),Indy,43.051373,141.9694165
Amihari,Indy,39.7897533,140.9448371
Geto Kogen,Indy,39.2366246,140.9062609
Okunakayama Kogen,Indy,40.0831987,141.1912904
Hachimantai Resort Shimokura Ski Area,Indy,39.8990404,140.9568902
Able Hakuba Goryu,Epic,36.662937,137.836664
Hakuba 47,Epic,36.685,137.8283333
Hakuba Cortina,Epic,36.7770681,137.8851453
Hakuba Happo-One,Epic,36.7019841,137.8369446
Hakuba Iwatake,Epic,36.7168942,137.8588322
Hakuba Norikura,Epic,36.7658832,137.8739806
Hakuba Sanosaka,Epic,36.629392,137.841677
Jiigatake,Epic,36.5883519,137.7509068
Kashimayari,Epic,36.5969431,137.8254561
Madarao,Indy,36.8524572,138.2906058
Tangram Ski Circus,Indy,36.8533811,138.262998
Togakushi,Indy,36.7313098,138.0763094
Tsugaike Kogen Ski Resort,Epic,36.7489715,137.8661573
lotte arai resort ,Ikon,36.9905198,138.1813323
Cupid Valley Ski Resort,Indy,37.055035,138.4845041
Maiko Snow Resort,Indy,36.9828206,138.8249672
Muica Snow Resort,Indy,37.0714127,138.8460142
Ninox Snow Park,Indy,37.9268164,139.4679026
Yuzawa Nakazato,Indy,36.9141426,138.8490268
Ani Ski Resort,Indy,39.9573111,140.49767
Aomori Spring,Indy,40.693185,140.2793
La Parva,Power,-33.3366134,-70.2895661
Valle Nevado,"Power, Ikon, Mountain Collective",-33.3557958,-70.2525563
Falls Creek,Epic,-36.8646894,147.279182
Hotham,Epic,53.799821,-0.640113
Mt. Buller,"Ikon, Mountain Collective",-37.1465655,146.4506354
Perisher,Epic,-36.4058898,148.4117257
Thredbo,Ikon,-36.4990449,148.3118522
Coronet Peak,"Ikon, Mountain Collective",-44.9271654,168.7362725
Mt. Hutt Ski Area,Ikon,-43.4956884,171.5400686
The Remarkables,"Ikon, Mountain Collective",-45.15,168.8333333
Turoa Ski Area,,-39.3043775,175.5269275
Whakapapa,,-39.2367589,175.5564999
