ResortName,PassAffiliation,Latitude,Longitude
Camden Snow Bowl,"Indy, Uphill New England",44.2177097,-69.1314385
Caribou High School,,46.8640471,-68.034006
Hermon Mountain,,44.78,-68.96
Lost Valley Ski Resort,"Indy, Freedom",44.1360699,-70.282957
Mount Abram,"Indy, Uphill New England",44.3797963,-70.7068649
Mount Jefferson,,45.35,-67.72
Pinnacle Ski Club,,44.7830774,-69.3821141
Pleasant Mountain Ski Resort,,44.058319,-70.8151591
Powderhouse Hill,,43.2370209,-70.8022414
Quarry Road,,44.5741958,-69.6520251
Quoggy Jo Ski Center,,46.7224998,-67.9291305
Saddleback,"Indy, Uphill New England",44.95,-70.53
Spruce Mountain Ski Slope,,44.4778522,-70.2023142
Sugarloaf,"Ikon, Mountain Collective",45.08,-70.17
Sunday River,"Ikon, Mountain Collective",44.4684091,-70.8774107
Titcomb Mountain,,44.6497222,-70.1702778
Wisp Ski resort,Indy,39.5568677,-79.3634466
Berkshire East,"Indy, Uphill New England",42.6211485,-72.877135
Blue Hills Ski Area,,42.2159609,-71.1190551
Bousquet Mountain Ski Area,Indy,42.4190908,-73.2765984
Butternut Ski Area and Tubing Center,Freedom,42.183659,-73.3201325
Catamount Ski Resort,Indy,42.1690998,-73.4769258
Easton (Eaglebrook School),,40.688432,-75.2207323
Jiminy Peak,Uphill New England,42.5556521,-73.2899875
Mt. Greylock Ski Club,,42.6375821,-73.1662155
Nashoba Valley,,42.5425766,-71.4448687
Otis Ridge,,42.1963889,-73.0983333
Ski Bradford,,42.7447273,-71.0558152
Ski Ward,,42.3014833,-71.6829768
Wachusett,,42.4891723,-71.8870425
Adventure Mountain Mass City,,46.7711111,-89.0833333
Alpine Valley,,42.63,-83.51
Big Powderhorn Mountain Resort,Indy,46.5090372,-90.0957069
Big Valley Ski and Tube,,46.3350448,-85.5223129
Bittersweet Ski Resort,,42.467159,-85.758719
Boyne Mountain,Ikon,45.1640641,-84.9283933
Caberfae Peaks,"Indy, Freedom",44.2447088,-85.7205725
Cannonsburg,,43.0539179,-85.4697477
Challenge Mountain,,45.2045972,-84.9983373
Covington (UP),,27.5705886,80.0981869
Crystal Mountain MI,Indy,44.5199554,-85.9922593
Crystella Ski Hill,,46.0927619,-88.3407897
Hanson Hills Recreation Area,,44.6455709,-84.7534741
Hickory Hills,,41.7255879,-87.825055
Homestead Ski Resort,,46.3380742,-84.1225258
Marquette Mountain (UP),Indy,46.5082074,-87.4208097
Missaukee Ski Mountain,,44.3921342,-85.2274138
Mont Ripley (UP),Indy Allied,47.1279318,-88.5600458
Mount Bohemia (UP),,47.387989,-88.0211181
Mount Brighton,Epic,42.54083,-83.8115217
Mount Holiday Ski Resort,Indy,44.7434864,-85.514097
Mount Holly,,39.9931696,-74.7855812
Mount McSauba,,45.3315079,-85.2457664
Mount Zion Ski Hill,,46.4741755,-90.1630175
Mulligan's Hollow,,43.0580548,-86.2392335
Norway Mountain,"Indy, Freedom",45.7894874,-87.8698523
Nub's Nob,Indy,45.4714767,-84.9048135
Otsego,,45.2741314,-93.5913501
Pine Knob,,42.7422524,-83.3671629
Pine Mountain Ski and Golf Resort,Indy,45.8391227,-88.0887374
Porcupine Mountains Ski Area. Michigan,,46.8178443,-89.6501617
Sault Seal Recreation Area,,46.4760398,-84.3454895
Shanty Creek - Schuss,Indy,44.9485751,-85.1850784
Ski Brule (UP),,46.0296772,-88.7012278
Snow Snake Ski and Golf,,43.9589831,-84.7807043
